participant,true_value,anchor,anchorhigh,estimate
1,2962,5332,1,4700
2,2962,1646,0,2805
3,2962,1646,0,1700
4,2962,5332,1,5185
5,2962,1646,0,1800
6,2962,5332,1,5500
7,2962,5332,1,7000
9,2962,5332,1,4576
10,2962,1646,0,700
11,2962,5332,1,5000
13,2962,5332,1,5500
15,2962,5332,1,4000
16,2962,1646,0,1700
18,2962,5332,1,5000
19,2962,1646,0,2800
20,2962,1646,0,3000
21,2962,1646,0,3000
22,2962,5332,1,2000
23,2962,1646,0,4000
24,2962,5332,1,4000
25,2962,5332,1,3000
26,2962,5332,1,4800
27,2962,1646,0,1200
29,2962,5332,1,6000
31,2962,5332,1,3000
32,2962,1646,0,2300
33,2962,5332,1,4500
34,2962,1646,0,1800
35,2962,5332,1,4500
36,2962,5332,1,5900
37,2962,5332,1,1800
38,2962,1646,0,2000
40,2962,5332,1,3000
41,2962,1646,0,3800
42,2962,5332,1,3500
43,2962,1646,0,2000
44,2962,5332,1,2000
45,2962,1646,0,2000
47,2962,1646,0,2500
48,2962,1646,0,2500
49,2962,5332,1,4599
50,2962,5332,1,3200
51,2962,1646,0,2500
52,2962,5332,1,2900
53,2962,1646,0,2300
54,2962,1646,0,4800
55,2962,5332,1,3000
56,2962,5332,1,2000
57,2962,1646,0,1980
58,2962,1646,0,2100
59,2962,5332,1,4700
60,2962,5332,1,3300
61,2962,1646,0,2400
63,2962,5332,1,6000
64,2962,5332,1,4000
65,2962,1646,0,3000
66,2962,5332,1,3000
67,2962,1646,0,2300
68,2962,1646,0,2000
70,2962,5332,1,4000
71,2962,1646,0,2000
73,2962,1646,0,3200
75,2962,1646,0,2400
76,2962,1646,0,2300
77,2962,5332,1,3000
78,2962,1646,0,2800
79,2962,5332,1,1700
15,2962,5332,1,4000
16,2962,1646,0,1700
18,2962,5332,1,5000
19,2962,1646,0,2800
20,2962,1646,0,3000
21,2962,1646,0,3000
22,2962,5332,1,2000
23,2962,1646,0,4000
24,2962,5332,1,4000
25,2962,5332,1,3000
26,2962,5332,1,4800
27,2962,1646,0,1200
29,2962,5332,1,6000
31,2962,5332,1,3000
32,2962,1646,0,2300
33,2962,5332,1,4500
34,2962,1646,0,1800
35,2962,5332,1,4500
36,2962,5332,1,5900
37,2962,5332,1,1800
38,2962,1646,0,2000
40,2962,5332,1,3000
41,2962,1646,0,3800
42,2962,5332,1,3500
43,2962,1646,0,2000
44,2962,5332,1,2000
45,2962,1646,0,2000
47,2962,1646,0,2500
48,2962,1646,0,2500
49,2962,5332,1,4599
50,2962,5332,1,3200
51,2962,1646,0,2500
52,2962,5332,1,2900
53,2962,1646,0,2300
54,2962,1646,0,4800
55,2962,5332,1,3000
56,2962,5332,1,2000
57,2962,1646,0,1980
58,2962,1646,0,2100
59,2962,5332,1,4700
60,2962,5332,1,3300
61,2962,1646,0,2400
63,2962,5332,1,6000
64,2962,5332,1,4000
65,2962,1646,0,3000
66,2962,5332,1,3000
67,2962,1646,0,2300
68,2962,1646,0,2000
70,2962,5332,1,4000
71,2962,1646,0,2000
73,2962,1646,0,3200
75,2962,1646,0,2400
76,2962,1646,0,2300
77,2962,5332,1,3000
78,2962,1646,0,2800
79,2962,5332,1,1700
