participant,true_value,anchor,anchorhigh,estimate
1,10557,67500,1,95000
2,10557,300,0,1000
3,10557,300,0,5000
4,10557,300,0,2000
5,10557,300,0,2000
6,10557,67500,1,23000
7,10557,300,0,10
8,10557,NA,NA,NA
9,10557,300,0,350
10,10557,300,0,450
11,10557,300,0,3000
12,10557,300,0,120
13,10557,300,0,3000
14,10557,300,0,2000
15,10557,300,0,1000
16,10557,300,0,500
17,10557,67500,1,50000
18,10557,300,0,2500
19,10557,300,0,NA
20,10557,67500,1,50000
21,10557,67500,1,30000
22,10557,67500,1,20000
23,10557,300,0,125
24,10557,300,0,10000
25,10557,NA,NA,NA
26,10557,NA,NA,NA
27,10557,300,0,500
28,10557,67500,1,40000
29,10557,300,0,3000
30,10557,300,0,1500
31,10557,67500,1,70000
32,10557,67500,1,1.00E+05
33,10557,300,0,1000
34,10557,67500,1,25000
35,10557,67500,1,70000
36,10557,67500,1,50000
37,10557,300,0,5000
38,10557,67500,1,1000
39,10557,300,0,200
40,10557,300,0,333
41,10557,300,0,2000
42,10557,300,0,470
43,10557,300,0,200
44,10557,300,0,350
45,10557,67500,1,99000
46,10557,67500,1,1.00E+05
47,10557,300,0,1000
48,10557,67500,1,60000
49,10557,67500,1,75000
50,10557,300,0,NA
51,10557,NA,NA,NA
52,10557,300,0,3000
53,10557,300,0,5000
54,10557,300,0,1000
55,10557,67500,1,75000
56,10557,300,0,2500
57,10557,67500,1,1.00E+05
58,10557,67500,1,70000
59,10557,300,0,355
60,10557,300,0,3000
61,10557,300,0,400
62,10557,300,0,500
63,10557,67500,1,1000
64,10557,67500,1,70000
65,10557,NA,NA,NA
66,10557,67500,1,70000
67,10557,300,0,450
68,10557,67500,1,34000
69,10557,67500,1,45000
70,10557,300,0,1500
71,10557,67500,1,2400
72,10557,67500,1,3000
73,10557,300,0,500
74,10557,300,0,600
75,10557,67500,1,52000
76,10557,67500,1,NA
77,10557,300,0,1000
78,10557,300,0,2000
79,10557,300,0,400
80,10557,300,0,250
81,10557,67500,1,75000
82,10557,300,0,150
83,10557,NA,NA,NA
84,10557,300,0,320
85,10557,NA,NA,NA
86,10557,300,0,1000
87,10557,300,0,500
88,10557,67500,1,25000
89,10557,300,0,1000
90,10557,67500,1,80000
91,10557,NA,NA,NA
92,10557,300,0,1000
93,10557,300,0,500
94,10557,67500,1,68000
95,10557,300,0,5000
96,10557,300,0,500
97,10557,67500,1,NA
98,10557,67500,1,4500
99,10557,67500,1,50000
100,10557,300,0,545
101,10557,67500,1,75000
102,10557,67500,1,70000
103,10557,NA,NA,NA
104,10557,67500,1,80000
105,10557,300,0,750
106,10557,300,0,4000
107,10557,300,0,250
108,10557,300,0,1000
109,10557,300,0,500
110,10557,300,0,8754
111,10557,NA,NA,NA
112,10557,300,0,700
113,10557,67500,1,30000
114,10557,300,0,1000
115,10557,67500,1,50000
116,10557,300,0,500
117,10557,67500,1,8000
118,10557,67500,1,1.00E+05
119,10557,300,0,275
120,10557,300,0,1000
121,10557,67500,1,30000
122,10557,300,0,1000
123,10557,67500,1,20000
124,10557,300,0,350
125,10557,67500,1,1.00E+05
126,10557,NA,NA,NA
127,10557,67500,1,80000
128,10557,300,0,NA
129,10557,300,0,NA
130,10557,NA,NA,NA
131,10557,300,0,1500
132,10557,67500,1,1000
133,10557,67500,1,1.00E+05
134,10557,300,0,560
135,10557,NA,NA,NA
136,10557,67500,1,95000
137,10557,67500,1,120000
138,10557,300,0,1500
139,10557,300,0,500
140,10557,300,0,350
141,10557,300,0,500
142,10557,67500,1,50000
143,10557,67500,1,35000
144,10557,NA,NA,NA
145,10557,300,0,1000
146,10557,NA,NA,NA
147,10557,NA,NA,NA
148,10557,NA,NA,NA
149,10557,67500,1,60000
150,10557,67500,1,60000
151,10557,67500,1,42500
152,10557,300,0,1000
153,10557,300,0,1000
154,10557,67500,1,80000
155,10557,300,0,1000
156,10557,67500,1,20000
157,10557,67500,1,85000
158,10557,300,0,210
159,10557,300,0,1000
160,10557,67500,1,8000
161,10557,300,0,400
162,10557,300,0,500
163,10557,300,0,450
164,10557,300,0,5000
165,10557,300,0,299
166,10557,NA,NA,NA
167,10557,67500,1,50000
168,10557,67500,1,70000
169,10557,300,0,NA
170,10557,67500,1,NA
171,10557,67500,1,70000
172,10557,67500,1,75000
173,10557,300,0,400
174,10557,NA,NA,NA
175,10557,67500,1,150000
176,10557,NA,NA,NA
177,10557,300,0,5000
178,10557,300,0,3000
179,10557,300,0,8500
180,10557,67500,1,30000
181,10557,67500,1,6750
182,10557,300,0,1200
183,10557,300,0,7500
184,10557,300,0,5000
185,10557,67500,1,65000
186,10557,NA,NA,NA
187,10557,NA,NA,NA
188,10557,300,0,1000
189,10557,300,0,5000
190,10557,67500,1,80000
191,10557,67500,1,75000
192,10557,300,0,450
193,10557,67500,1,80000
