participant,true_value,anchor,anchorhigh,estimate
1,197.2816,44,0,211
2,197.2816,610,1,100
5,197.2816,44,0,60
6,197.2816,610,1,200
7,197.2816,610,1,200
9,197.2816,44,0,150
12,197.2816,44,0,200
13,197.2816,610,1,525
14,197.2816,610,1,600
15,197.2816,610,1,400
16,197.2816,44,0,115
18,197.2816,44,0,120
20,197.2816,610,1,400
23,197.2816,44,0,80
25,197.2816,44,0,70
27,197.2816,610,1,500
28,197.2816,610,1,400
29,197.2816,44,0,90
30,197.2816,44,0,25
32,197.2816,610,1,100
34,197.2816,44,0,199
35,197.2816,610,1,80
36,197.2816,44,0,125
39,197.2816,610,1,100
41,197.2816,610,1,500
42,197.2816,610,1,300
43,197.2816,44,0,150
44,197.2816,610,1,450
46,197.2816,610,1,180
47,197.2816,610,1,500
49,197.2816,44,0,245
51,197.2816,44,0,88
53,197.2816,44,0,100
55,197.2816,610,1,200
56,197.2816,44,0,100
57,197.2816,44,0,200
58,197.2816,610,1,1
59,197.2816,44,0,70
60,197.2816,44,0,400
62,197.2816,44,0,130
63,197.2816,610,1,400
64,197.2816,610,1,400
67,197.2816,610,1,600
68,197.2816,610,1,400
69,197.2816,44,0,150
70,197.2816,44,0,120
72,197.2816,610,1,300
73,197.2816,44,0,200
75,197.2816,610,1,400
76,197.2816,44,0,140
77,197.2816,44,0,70
78,197.2816,610,1,100
81,197.2816,610,1,40
82,197.2816,610,1,310
84,197.2816,44,0,100
85,197.2816,44,0,100
87,197.2816,610,1,400
88,197.2816,44,0,250
89,197.2816,610,1,500
90,197.2816,44,0,150
93,197.2816,44,0,500
94,197.2816,610,1,500
97,197.2816,44,0,95
98,197.2816,610,1,500
99,197.2816,44,0,150
100,197.2816,610,1,300
101,197.2816,610,1,350
103,197.2816,44,0,150
106,197.2816,44,0,200
107,197.2816,44,0,100
111,197.2816,44,0,200
112,197.2816,44,0,111
114,197.2816,610,1,400
115,197.2816,44,0,300
119,197.2816,610,1,400
120,197.2816,44,0,200
121,197.2816,44,0,70
123,197.2816,610,1,300
124,197.2816,610,1,200
125,197.2816,44,0,300
126,197.2816,610,1,400
128,197.2816,610,1,100
129,197.2816,44,0,185
130,197.2816,610,1,300
132,197.2816,44,0,80
134,197.2816,610,1,200
136,197.2816,610,1,200
137,197.2816,610,1,500
138,197.2816,610,1,350
140,197.2816,44,0,150
142,197.2816,610,1,85
143,197.2816,610,1,500
144,197.2816,610,1,450
145,197.2816,44,0,110
146,197.2816,44,0,150
150,197.2816,44,0,200
151,197.2816,44,0,150
153,197.2816,610,1,500
154,197.2816,610,1,200
156,197.2816,44,0,40
158,197.2816,44,0,150
159,197.2816,44,0,100
161,197.2816,610,1,125
162,197.2816,610,1,300
164,197.2816,610,1,200
166,197.2816,44,0,299
168,197.2816,610,1,200
169,197.2816,610,1,500
171,197.2816,44,0,75
173,197.2816,44,0,72
174,197.2816,44,0,100
175,197.2816,44,0,250
176,197.2816,44,0,150
177,197.2816,610,1,200
179,197.2816,610,1,80
180,197.2816,44,0,50
181,197.2816,610,1,300
183,197.2816,610,1,600
184,197.2816,610,1,300
185,197.2816,610,1,299
187,197.2816,610,1,500
188,197.2816,44,0,4
189,197.2816,44,0,50
190,197.2816,44,0,190
191,197.2816,44,0,100
192,197.2816,610,1,300
193,197.2816,610,1,300
194,197.2816,44,0,180
198,197.2816,44,0,120
200,197.2816,610,1,250
201,197.2816,44,0,150
203,197.2816,44,0,60
204,197.2816,610,1,200
205,197.2816,44,0,150
207,197.2816,44,0,3
209,197.2816,610,1,500
210,197.2816,610,1,500
211,197.2816,610,1,500
212,197.2816,44,0,200
213,197.2816,44,0,85
214,197.2816,44,0,150
218,197.2816,610,1,1000
219,197.2816,44,0,160
220,197.2816,610,1,550
221,197.2816,610,1,300
222,197.2816,44,0,100
223,197.2816,44,0,150
224,197.2816,610,1,500
227,197.2816,610,1,50
228,197.2816,44,0,6
230,197.2816,44,0,120
231,197.2816,44,0,100
233,197.2816,610,1,200
236,197.2816,44,0,300
237,197.2816,44,0,140
238,197.2816,610,1,400
239,197.2816,44,0,200
240,197.2816,610,1,400
242,197.2816,610,1,400
243,197.2816,610,1,610
245,197.2816,44,0,200
246,197.2816,610,1,34
248,197.2816,44,0,100
249,197.2816,610,1,400
250,197.2816,610,1,400
251,197.2816,610,1,300
252,197.2816,44,0,150
255,197.2816,610,1,600
257,197.2816,44,0,100
258,197.2816,610,1,150
259,197.2816,44,0,100
261,197.2816,610,1,200
262,197.2816,610,1,350
264,197.2816,44,0,180
266,197.2816,44,0,222
267,197.2816,610,1,400
268,197.2816,610,1,4
269,197.2816,44,0,100
273,197.2816,610,1,400
275,197.2816,610,1,200
276,197.2816,44,0,350
277,197.2816,44,0,200
278,197.2816,610,1,300
280,197.2816,610,1,100
281,197.2816,610,1,40
284,197.2816,44,0,110
285,197.2816,44,0,140
286,197.2816,610,1,500
288,197.2816,610,1,500
290,197.2816,610,1,500
292,197.2816,44,0,135
294,197.2816,44,0,175
295,197.2816,610,1,87
296,197.2816,44,0,200
