subject,condition,reaction_time_ms,accuracy
1,congruent,549.802849180674,1
1,congruent,511.7041419297289,1
1,congruent,558.8613122860415,1
1,congruent,611.3817913844815,1
1,congruent,505.95079751659983,1
1,congruent,505.9517825830492,1
1,congruent,614.7527689304435,1
1,congruent,566.0460837491745,1
1,congruent,491.8315368439029,1
1,congruent,552.5536026151578,1
1,congruent,492.19493843125224,1
1,congruent,492.05621478578456,1
1,congruent,534.517736293962,1
1,congruent,405.20318532053216,1
1,congruent,416.50493004921805,1
1,congruent,486.2627482455416,1
1,congruent,459.2301327799346,1
1,congruent,538.8548399557164,1
1,congruent,465.51855546872736,1
1,congruent,435.2617779198825,1
1,congruent,607.9389261352933,1
1,congruent,506.4534219708079,0
1,congruent,524.0516922812755,0
1,congruent,434.5151088271926,1
1,congruent,487.337036528489,1
1,congruent,526.655355382592,1
1,congruent,450.9403853546618,1
1,congruent,542.5418811007403,1
1,congruent,483.9616786048717,1
1,congruent,502.4983750124034,1
1,congruent,483.89760326623616,1
1,congruent,631.1366910705362,1
1,congruent,519.190166515724,1
1,congruent,456.537344262646,1
1,congruent,569.3526947261913,1
1,congruent,446.7493810017387,1
1,congruent,532.5318157002853,0
1,congruent,402.41979256721345,1
1,congruent,440.30883706609416,1
1,congruent,531.8116741521474,1
1,congruent,564.3079947997246,1
1,congruent,530.2820968713983,1
1,congruent,513.0611030567055,1
1,congruent,501.9337782646427,1
1,congruent,431.2886805779543,1
1,congruent,476.80934749631746,1
1,congruent,492.36167374241273,1
1,congruent,583.427333573135,1
1,congruent,540.6170973741077,1
1,congruent,414.217590678236,1
1,congruent,539.4450381636877,1
1,congruent,496.895063175021,1
1,congruent,479.3846799816425,1
1,congruent,556.7005773304521,1
1,congruent,581.8599713497571,1
1,congruent,575.8768071469719,1
1,congruent,469.6469486066417,1
1,congruent,501.44725744892713,1
1,congruent,539.8758058842138,1
1,congruent,578.5327076273416,1
1,congruent,491.2495457292826,1
1,congruent,508.86046140017095,1
1,congruent,453.6199015596383,1
1,congruent,448.22760255515976,1
1,congruent,568.7515493436518,1
1,congruent,601.3744017142494,1
1,congruent,515.67939270518,1
1,congruent,580.2119738735214,1
1,congruent,541.698161502858,1
1,congruent,481.2928147236926,1
1,congruent,541.6837363305049,1
1,congruent,612.2821939879582,1
1,congruent,517.8504376534029,1
1,congruent,613.8786193488404,1
1,congruent,362.81529375461537,1
1,congruent,569.3141502625134,1
1,congruent,525.2228240942902,1
1,congruent,502.05955897204797,1
1,congruent,525.5056465921301,1
1,congruent,400.74586512394643,1
1,congruent,506.81968672974926,1
1,congruent,541.4267542907048,1
1,congruent,608.6736426844909,1
1,congruent,488.90378690358114,1
1,congruent,471.49038382640873,1
1,congruent,489.8945773849278,1
1,congruent,574.9241270621244,1
1,congruent,539.725066579581,1
1,congruent,488.21438777397765,1
1,congruent,550.7960459868013,1
1,incongruent,761.9464706686854,1
1,incongruent,678.4299752547073,1
1,incongruent,578.5217901678411,1
1,incongruent,689.3932165180298,1
1,incongruent,591.5190997863607,1
1,incongruent,697.2250762245471,1
1,incongruent,719.5157347404443,0
1,incongruent,600.7590608988974,1
1,incongruent,707.8025677546593,1
1,incongruent,674.7668556161899,1
1,incongruent,699.3236095996695,1
1,incongruent,763.8075789592368,1
1,incongruent,635.2767130398278,1
1,incongruent,604.7758301385506,1
1,incongruent,596.6291342224686,1
1,incongruent,601.0513829020737,1
1,incongruent,645.3738974351537,1
1,incongruent,670.4691184889987,1
1,incongruent,666.6014479598011,1
1,incongruent,699.6309949421615,1
1,incongruent,650.7801135126745,1
1,incongruent,737.212044629439,1
1,incongruent,634.1205900057226,1
1,incongruent,813.2101499953772,1
1,incongruent,687.5400408659003,1
1,incongruent,598.5705466150231,1
1,incongruent,585.7464501163332,1
1,incongruent,678.9483449145911,1
1,incongruent,636.5922328804489,1
1,incongruent,692.8400296455255,1
1,incongruent,678.3942574744127,1
1,incongruent,645.6302652405876,1
1,incongruent,599.1923769158957,1
1,incongruent,559.1091665188482,1
1,incongruent,623.2091028759787,1
1,incongruent,701.3839276594083,1
1,incongruent,662.8456246478122,1
1,incongruent,575.2556732772807,1
1,incongruent,660.3908555510709,1
1,incongruent,673.1190427837303,1
1,incongruent,596.968553827932,0
1,incongruent,659.2235063567317,1
1,incongruent,653.49252310676,1
1,incongruent,581.4217821301626,1
