replication_experiment_with_bonus;response_correct;wason_condition;rt;wason_name;pc_choice_includes_antecedent_true;pc_choice_includes_antecedent_false;pc_choice_includes_consequent_true;pc_choice_includes_consequent_false;rt_split;subject;subject_no_rt;response_correct_no_prior;logprob_diff
FALSE;FALSE;Arbitrary;68149952;abstract_book_particle;FALSE;TRUE;FALSE;TRUE;fast;Human (fast);Human;FALSE;NA
FALSE;TRUE;Arbitrary;55964374;abstract_book_particle;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
FALSE;FALSE;Arbitrary;48233354;abstract_book_particle;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;52332214;abstract_book_particle;FALSE;FALSE;TRUE;TRUE;fast;Human (fast);Human;FALSE;NA
TRUE;TRUE;Arbitrary;30198871;abstract_book_particle;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
TRUE;FALSE;Arbitrary;41495906;abstract_book_particle;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;31682275;abstract_book_particle;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;TRUE;Arbitrary;34187913;abstract_book_particle;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
TRUE;FALSE;Arbitrary;6338102;abstract_book_particle;FALSE;FALSE;TRUE;TRUE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;3002949;abstract_book_particle;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;47130945;abstract_book_particle;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;42298271;abstract_book_particle;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;65230701;abstract_book_particle;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;TRUE;Arbitrary;62095777;abstract_book_particle;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
TRUE;TRUE;Arbitrary;32864507;abstract_book_particle;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
TRUE;FALSE;Arbitrary;60732407;abstract_book_particle;FALSE;FALSE;TRUE;TRUE;fast;Human (fast);Human;FALSE;NA
